Source,CH1,CH2
Second,Volt,Volt
-0.00006722000,3.20000,3.24000
-0.00006721000,3.24000,3.20000
-0.00006720000,3.20000,3.20000
-0.00006719000,3.20000,3.24000
-0.00006718000,3.20000,3.24000
-0.00006717000,3.20000,3.28000
-0.00006716000,3.20000,3.24000
-0.00006715000,3.20000,3.24000
-0.00006714000,3.24000,3.20000
-0.00006713000,3.20000,3.20000
-0.00006712000,3.24000,3.20000
-0.00006711000,3.20000,3.20000
-0.00006710000,3.24000,3.28000
-0.00006709000,3.20000,3.24000
-0.00006708000,3.24000,3.28000
-0.00006707000,3.20000,3.24000
-0.00006706000,3.20000,3.28000
-0.00006705000,3.20000,3.24000
-0.00006704000,3.16000,3.20000
-0.00006703000,3.20000,3.20000
-0.00006702000,3.24000,3.20000
-0.00006701000,3.20000,3.28000
-0.00006700000,3.20000,3.24000
-0.00006699000,3.20000,3.28000
-0.00006698000,3.20000,3.24000
-0.00006697000,3.20000,3.24000
-0.00006696000,3.20000,3.24000
-0.00006695000,3.20000,3.20000
-0.00006694000,3.20000,3.20000
-0.00006693000,3.20000,3.20000
-0.00006692000,3.20000,3.20000
-0.00006691000,3.20000,3.24000
-0.00006690000,3.20000,3.28000
-0.00006689000,3.24000,3.28000
-0.00006688000,3.20000,3.24000
-0.00006687000,3.20000,3.20000
-0.00006686000,3.20000,3.20000
-0.00006685000,3.24000,3.20000
-0.00006684000,3.20000,3.20000
-0.00006683000,3.20000,3.20000
-0.00006682000,3.20000,3.28000
-0.00006681000,3.20000,3.28000
-0.00006680000,3.16000,3.24000
-0.00006679000,3.20000,3.24000
-0.00006678000,3.20000,3.24000
-0.00006677000,3.24000,3.20000
-0.00006676000,3.20000,3.20000
-0.00006675000,3.20000,3.28000
-0.00006674000,3.20000,3.24000
-0.00006673000,3.20000,3.24000
-0.00006672000,3.16000,3.28000
-0.00006671000,3.20000,3.24000
-0.00006670000,3.16000,3.24000
-0.00006669000,3.20000,3.20000
-0.00006668000,3.16000,3.20000
-0.00006667000,3.20000,3.20000
-0.00006666000,3.20000,3.20000
-0.00006665000,3.20000,3.24000
-0.00006664000,3.20000,3.28000
-0.00006663000,3.20000,3.28000
-0.00006662000,3.16000,3.28000
-0.00006661000,3.16000,3.20000
-0.00006660000,3.20000,3.24000
-0.00006659000,3.20000,3.20000
-0.00006658000,3.20000,3.24000
-0.00006657000,3.20000,3.24000
-0.00006656000,3.16000,3.28000
-0.00006655000,3.20000,3.28000
-0.00006654000,3.20000,3.24000
-0.00006653000,3.20000,3.24000
-0.00006652000,3.16000,3.20000
-0.00006651000,3.20000,3.20000
-0.00006650000,3.20000,3.24000
-0.00006649000,3.20000,3.24000
-0.00006648000,3.20000,3.24000
-0.00006647000,3.24000,3.28000
-0.00006646000,3.20000,3.28000
-0.00006645000,3.20000,3.28000
-0.00006644000,3.16000,3.24000
-0.00006643000,3.20000,3.20000
-0.00006642000,3.20000,3.20000
-0.00006641000,3.20000,3.20000
-0.00006640000,3.20000,3.20000
-0.00006639000,3.16000,3.24000
-0.00006638000,3.20000,3.28000
-0.00006637000,3.20000,3.28000
-0.00006636000,3.20000,3.28000
-0.00006635000,3.20000,3.24000
-0.00006634000,3.20000,3.20000
-0.00006633000,3.20000,3.20000
-0.00006632000,3.20000,3.20000
-0.00006631000,3.20000,3.24000
-0.00006630000,3.20000,3.28000
-0.00006629000,3.20000,3.28000
-0.00006628000,3.20000,3.28000
-0.00006627000,3.16000,3.24000
-0.00006626000,3.20000,3.24000
-0.00006625000,3.16000,3.20000
-0.00006624000,3.24000,3.20000
-0.00006623000,3.20000,3.24000
-0.00006622000,3.20000,3.24000
-0.00006621000,3.20000,3.24000
-0.00006620000,3.16000,3.20000
-0.00006619000,3.20000,3.28000
-0.00006618000,3.20000,3.24000
-0.00006617000,3.24000,3.20000
-0.00006616000,3.16000,3.24000
-0.00006615000,3.20000,3.20000
-0.00006614000,3.20000,3.20000
-0.00006613000,3.16000,3.24000
-0.00006612000,3.20000,3.24000
-0.00006611000,3.16000,3.28000
-0.00006610000,3.20000,3.28000
-0.00006609000,3.16000,3.24000
-0.00006608000,3.16000,3.24000
-0.00006607000,3.16000,3.20000
-0.00006606000,3.20000,3.20000
-0.00006605000,3.16000,3.20000
-0.00006604000,3.20000,3.24000
-0.00006603000,3.20000,3.24000
-0.00006602000,3.20000,3.24000
-0.00006601000,3.16000,3.20000
-0.00006600000,3.16000,3.20000
-0.00006599000,3.16000,3.20000
-0.00006598000,3.20000,3.20000
-0.00006597000,3.16000,3.20000
-0.00006596000,3.20000,3.24000
-0.00006595000,3.20000,3.24000
-0.00006594000,3.24000,3.28000
-0.00006593000,3.20000,3.28000
-0.00006592000,3.16000,3.24000
-0.00006591000,3.20000,3.24000
-0.00006590000,3.20000,3.24000
-0.00006589000,3.16000,3.20000
-0.00006588000,3.24000,3.20000
-0.00006587000,3.20000,3.20000
-0.00006586000,3.20000,3.24000
-0.00006585000,3.20000,3.28000
-0.00006584000,3.16000,3.24000
-0.00006583000,3.16000,3.28000
-0.00006582000,3.20000,3.20000
-0.00006581000,3.20000,3.20000
-0.00006580000,3.20000,3.20000
-0.00006579000,3.20000,3.24000
-0.00006578000,3.20000,3.24000
-0.00006577000,3.24000,3.24000
-0.00006576000,3.20000,3.28000
-0.00006575000,3.16000,3.28000
-0.00006574000,3.20000,3.24000
-0.00006573000,3.24000,3.24000
-0.00006572000,3.20000,3.24000
-0.00006571000,3.20000,3.20000
-0.00006570000,3.20000,3.24000
-0.00006569000,3.20000,3.24000
-0.00006568000,3.20000,3.28000
-0.00006567000,3.20000,3.28000
-0.00006566000,3.20000,3.24000
-0.00006565000,3.24000,3.24000
-0.00006564000,3.20000,3.20000
-0.00006563000,3.24000,3.20000
-0.00006562000,3.20000,3.20000
-0.00006561000,3.20000,3.24000
-0.00006560000,3.20000,3.24000
-0.00006559000,3.20000,3.28000
-0.00006558000,3.20000,3.28000
-0.00006557000,3.16000,3.24000
-0.00006556000,3.20000,3.24000
-0.00006555000,3.20000,3.24000
-0.00006554000,3.20000,3.20000
-0.00006553000,3.20000,3.20000
-0.00006552000,3.20000,3.24000
-0.00006551000,3.20000,3.28000
-0.00006550000,3.24000,3.28000
-0.00006549000,3.20000,3.28000
-0.00006548000,3.20000,3.24000
-0.00006547000,3.20000,3.20000
-0.00006546000,3.20000,3.24000
-0.00006545000,3.20000,3.20000
-0.00006544000,3.20000,3.20000
-0.00006543000,3.16000,3.20000
-0.00006542000,3.20000,3.28000
