Source,CH1,CH2
Second,Volt,Volt
-0.00182680006,3.20000,3.24000
-0.00182640005,3.20000,3.24000
-0.00182600005,3.20000,3.24000
-0.00182560005,3.20000,3.24000
-0.00182520004,3.20000,3.24000
-0.00182480004,3.20000,3.28000
-0.00182440004,3.20000,3.24000
-0.00182400004,3.20000,3.24000
-0.00182360003,3.20000,3.24000
-0.00182320003,3.24000,3.24000
-0.00182280003,3.20000,3.24000
-0.00182240002,3.20000,3.24000
-0.00182200002,3.20000,3.28000
-0.00182160002,3.20000,3.24000
-0.00182120001,3.20000,3.24000
-0.00182080001,3.20000,3.24000
-0.00182040001,3.20000,3.28000
-0.00182000000,3.20000,3.24000
-0.00181960000,3.20000,3.24000
-0.00181920000,3.20000,3.24000
-0.00181880000,3.20000,3.24000
-0.00181839999,3.20000,3.24000
-0.00181799999,3.20000,3.24000
-0.00181759999,3.20000,3.24000
-0.00181719998,3.20000,3.28000
-0.00181679998,3.20000,3.24000
-0.00181639998,3.20000,3.24000
-0.00181599997,3.28000,3.32000
-0.00181559997,3.20000,3.28000
-0.00181519997,3.20000,3.24000
-0.00181479997,3.20000,3.24000
-0.00181440008,3.20000,3.24000
-0.00181400008,3.20000,3.24000
-0.00181360007,3.20000,3.24000
-0.00181320007,3.20000,3.24000
-0.00181280007,3.20000,3.28000
-0.00181240006,3.20000,3.24000
-0.00181200006,3.20000,3.24000
-0.00181160006,3.20000,3.24000
-0.00181120005,3.20000,3.28000
-0.00181080005,3.20000,3.24000
-0.00181040005,3.20000,3.24000
-0.00181000005,3.20000,3.24000
-0.00180960004,3.20000,3.24000
-0.00180920004,3.20000,3.24000
-0.00180880004,3.20000,3.24000
-0.00180840003,3.20000,3.24000
-0.00180800003,3.20000,3.24000
-0.00180760003,3.20000,3.24000
-0.00180720002,3.20000,3.24000
-0.00180680002,3.20000,3.24000
-0.00180640002,3.20000,3.24000
-0.00180600001,3.20000,3.24000
-0.00180560001,3.16000,3.24000
-0.00180520001,3.20000,3.24000
-0.00180480001,3.20000,3.24000
-0.00180440000,3.20000,3.24000
-0.00180400000,3.20000,3.24000
-0.00180360000,3.20000,3.24000
-0.00180319999,3.20000,3.24000
-0.00180279999,3.20000,3.24000
-0.00180239999,3.20000,3.24000
-0.00180199998,3.20000,3.24000
-0.00180159998,3.20000,3.24000
-0.00180119998,3.20000,3.24000
-0.00180079998,3.20000,3.24000
-0.00180039997,3.20000,3.24000
-0.00179999997,3.20000,3.28000
-0.00179959997,3.20000,3.24000
-0.00179919996,3.20000,3.24000
-0.00179880008,3.24000,3.24000
-0.00179840007,3.20000,3.24000
-0.00179800007,3.20000,3.24000
-0.00179760007,3.20000,3.24000
-0.00179720006,3.32000,3.28000
-0.00179680006,3.20000,3.24000
-0.00179640006,3.20000,3.24000
-0.00179600006,3.20000,3.24000
-0.00179560005,3.20000,3.28000
-0.00179520005,3.20000,3.24000
-0.00179480005,3.20000,3.24000
-0.00179440004,3.20000,3.24000
-0.00179400004,3.20000,3.24000
-0.00179360004,3.20000,3.24000
-0.00179320003,3.20000,3.24000
-0.00179280003,3.20000,3.24000
-0.00179240003,3.20000,3.24000
-0.00179200002,3.20000,3.24000
-0.00179160002,3.20000,3.24000
-0.00179120002,3.20000,3.24000
-0.00179080002,3.20000,3.24000
-0.00179040001,3.20000,3.24000
-0.00179000001,3.20000,3.24000
-0.00178960001,3.20000,3.24000
-0.00178920000,3.20000,3.28000
-0.00178880000,3.20000,3.24000
-0.00178840000,3.20000,3.24000
-0.00178799999,3.20000,3.24000
-0.00178759999,3.20000,3.24000
-0.00178719999,3.20000,3.24000
-0.00178679998,3.20000,3.24000
-0.00178639998,3.20000,3.24000
-0.00178599998,3.20000,3.24000
-0.00178559998,3.16000,3.24000
-0.00178519997,3.20000,3.24000
-0.00178479997,3.20000,3.24000
-0.00178439997,3.20000,3.24000
-0.00178399996,3.20000,3.24000
-0.00178360008,3.24000,3.24000
-0.00178320007,3.20000,3.24000
-0.00178280007,3.20000,3.24000
-0.00178240007,3.20000,3.24000
-0.00178200006,3.20000,3.24000
-0.00178160006,3.20000,3.24000
-0.00178120006,3.20000,3.24000
-0.00178080006,3.20000,3.24000
-0.00178040005,3.20000,3.24000
-0.00178000005,3.20000,3.24000
-0.00177960005,3.20000,3.24000
-0.00177920004,3.20000,3.24000
-0.00177880004,3.20000,3.24000
-0.00177840004,3.20000,3.24000
-0.00177800003,3.20000,3.24000
-0.00177760003,3.20000,3.24000
-0.00177720003,3.20000,3.24000
-0.00177680003,3.20000,3.24000
-0.00177640002,3.20000,3.24000
-0.00177600002,3.20000,3.24000
-0.00177560002,3.20000,3.24000
-0.00177520001,3.20000,3.24000
-0.00177480001,3.20000,3.24000
-0.00177440001,3.20000,3.24000
-0.00177400000,3.20000,3.24000
-0.00177360000,3.20000,3.24000
-0.00177320000,3.24000,3.24000
-0.00177279999,3.20000,3.24000
-0.00177239999,3.20000,3.28000
-0.00177199999,3.20000,3.24000
-0.00177159999,3.20000,3.24000
-0.00177119998,3.20000,3.24000
-0.00177079998,3.20000,3.28000
-0.00177039998,3.20000,3.24000
-0.00176999997,3.20000,3.24000
-0.00176959997,3.20000,3.24000
-0.00176919997,3.20000,3.24000
-0.00176879996,3.20000,3.28000
-0.00176840008,3.20000,3.24000
-0.00176800007,3.20000,3.24000
-0.00176760007,3.20000,3.24000
-0.00176720007,3.20000,3.24000
-0.00176680007,3.20000,3.24000
-0.00176640006,3.20000,3.24000
-0.00176600006,3.20000,3.24000
-0.00176560006,3.20000,3.24000
-0.00176520005,3.20000,3.24000
-0.00176480005,3.20000,3.24000
-0.00176440005,3.20000,3.24000
-0.00176400004,3.20000,3.24000
-0.00176360004,3.20000,3.24000
-0.00176320004,3.20000,3.24000
-0.00176280004,3.20000,3.24000
-0.00176240003,3.20000,3.24000
-0.00176200003,3.20000,3.24000
-0.00176160003,3.20000,3.24000
-0.00176120002,3.20000,3.24000
-0.00176080002,3.20000,3.28000
-0.00176040002,3.20000,3.24000
-0.00176000001,3.20000,3.28000
-0.00175960001,3.20000,3.24000
-0.00175920001,3.20000,3.24000
-0.00175880000,3.20000,3.28000
-0.00175840000,3.20000,3.24000
-0.00175800000,3.20000,3.24000
-0.00175760000,3.24000,3.24000
-0.00175719999,3.20000,3.24000
-0.00175679999,3.20000,3.24000
-0.00175639999,3.20000,3.24000
-0.00175599998,3.20000,3.24000
-0.00175559998,3.20000,3.24000
-0.00175519998,3.24000,3.28000
-0.00175479997,3.20000,3.24000
-0.00175439997,3.20000,3.24000
-0.00175399997,3.20000,3.24000
-0.00175359997,3.20000,3.24000
-0.00175320008,3.24000,3.24000
-0.00175280008,3.20000,3.24000
-0.00175240007,3.24000,3.24000
-0.00175200007,3.20000,3.24000
-0.00175160007,3.20000,3.24000
-0.00175120006,3.16000,3.20000
-0.00175080006,3.20000,3.24000
-0.00175040006,3.20000,3.24000
-0.00175000005,3.20000,3.24000
-0.00174960005,3.20000,3.24000
-0.00174920005,3.20000,3.24000
-0.00174880004,3.20000,3.24000
-0.00174840004,3.24000,3.32000
-0.00174800004,3.20000,3.24000
-0.00174760004,3.20000,3.24000
-0.00174720003,3.20000,3.24000
-0.00174680003,3.20000,3.24000
-0.00174640003,3.20000,3.24000
-0.00174600002,3.20000,3.24000
-0.00174560002,3.20000,3.24000
-0.00174520002,3.20000,3.24000
-0.00174480001,3.20000,3.24000
-0.00174440001,3.20000,3.24000
-0.00174400001,3.20000,3.24000
-0.00174360001,3.20000,3.24000
-0.00174320000,3.20000,3.24000
-0.00174280000,3.20000,3.24000
-0.00174240000,3.20000,3.24000
-0.00174199999,3.20000,3.24000
-0.00174159999,3.20000,3.24000
-0.00174119999,3.20000,3.24000
-0.00174079998,3.20000,3.24000
-0.00174039998,3.20000,3.24000
-0.00173999998,3.20000,3.24000
-0.00173959997,3.20000,3.24000
-0.00173919997,3.20000,3.24000
-0.00173879997,3.20000,3.24000
-0.00173839997,3.20000,3.24000
-0.00173799996,3.20000,3.28000
-0.00173760008,3.20000,3.24000
-0.00173720007,3.20000,3.24000
-0.00173680007,3.20000,3.24000
-0.00173640007,3.20000,3.24000
-0.00173600006,3.20000,3.24000
-0.00173560006,3.20000,3.24000
-0.00173520006,3.20000,3.24000
-0.00173480005,3.08000,3.16000
-0.00173440005,3.20000,3.24000
-0.00173400005,3.20000,3.24000
-0.00173360005,3.20000,3.24000
-0.00173320004,3.20000,3.24000
-0.00173280004,3.20000,3.24000
-0.00173240004,3.20000,3.28000
-0.00173200003,3.20000,3.24000
-0.00173160003,3.20000,3.24000
-0.00173120003,3.16000,3.24000
-0.00173080002,3.20000,3.24000
-0.00173040002,3.20000,3.24000
-0.00173000002,3.20000,3.24000
-0.00172960002,3.20000,3.24000
-0.00172920001,3.20000,3.24000
-0.00172880001,3.20000,3.24000
-0.00172840001,3.20000,3.24000
-0.00172800000,3.20000,3.24000
-0.00172760000,3.20000,3.24000
-0.00172720000,3.20000,3.28000
-0.00172679999,3.20000,3.24000
-0.00172639999,3.20000,3.24000
-0.00172599999,3.20000,3.24000
-0.00172559998,3.20000,3.24000
-0.00172519998,3.20000,3.28000
-0.00172479998,3.20000,3.24000
-0.00172439998,3.20000,3.24000
-0.00172399997,3.20000,3.24000
